Course Name,link,Course Outline
"Health, Long-term Care and Disability Insurance","https://erevuka.org/course/details/Health,-Long-term-Care-and-Disability-Insurance","Introduction., Private Health Insurance., Private Health Care Plan., Government Health Care Plans., Long-term Care Insurance., Disability Insurance., Summary."
Managing Personal Finances,https://erevuka.org/course/details/Managing-Personal-Finances-Erevuka-Academy,"Understand your personal expenses, Know the benefits of making a budget, Set financial goals, Develop good spending habits, Learn how to pay off debt, Learn how to effectively make a budget"
Group Insurance,https://erevuka.org/course/details/Group-Insurance,"Introduction, Group Insurance Underwriting, Group Insurance Policy Provisions, Group Life Insurance Provisions, Group Insurance Premiums, Group Life Insurance Plans, Group Plan Administration, Summary"
Annuities,https://erevuka.org/course/details/Annuities,"Introduction, Operating of Annuities, Type of Annuities, Life Annuities, Annuity Contract Provisions, Annuities Calculations, Summary"
Analysis and Evaluation of Risk Exposure,https://erevuka.org/course/details/Analysis-and-Evaluation-of-Risk-Exposure,"Introduction, Personal Risk, Property Risk, Business Liability, Legal Aspects of Insurance, Summary"
General Insurance: Individuals,https://erevuka.org/course/details/General-Insurance:-Individuals,"Introduction, Auto Insurance, Homeowner’s Insurance, Summary"
Actuarial Principles,https://erevuka.org/course/details/Actuarial-Principles,"Introduction, Principles and Standards, Summary"
Principles of Insurance,https://erevuka.org/course/details/Principles-of-Insurance,"Objectives, Introduction, Non-Insurance Response to Risk, Summary"
Underwriting and Claims,https://erevuka.org/course/details/Underwriting-and-Claims,"Introduction, Hazard, The Underwriting Process, Risk Survey, Calculation of Premiums, Claims, Summary"
Reinsurance,https://erevuka.org/course/details/Reinsurance,"Introduction, ﻿Types and Methods of Reinsurance I, Types and Methods of Reinsurance II, Alternative Risk Transfer, Functions of Reinsurance, Summary"
Creating and Delivering Business Presentations,https://erevuka.org/course/details/Creating-and-Delivering-Business-Presentations,"Defining Your Presentation Objective, How to Structure Your Presentation, Working With Visual Aids, Visual Aid Design, Presenting Data, Presenting Data, Practicing Your Presentation, Improving Your Presentation, Coping With Presentation Nerves, Dealing With Questions, Summary"
Customer Service Course,https://erevuka.org/course/details/Customer-Service-Course,"State what customer service means in relation to all your customers, both internal and external, Recognize how your attitude affects customer service, Identify your customers’ needs, Use outstanding customer service to generate return business, Build good will through in-person customer service, Provide outstanding customer service over the phone, Connect with customers through online tools, Deal with difficult customers"
