product_name,count
BORNOS VINOS & LICORES,1
BODEGAS VERDUGUEZ,1
CELLER LES FRESES,1
FALCON VINES,1
SIDRAS BEREZIARTUA SAGARDOAK,1
VIÑALESA,1
''ADEGA LAGAR PEDREGALES (ALBARIÑO),1
100 PALOS,1
300 LÍOS VOLCANIC GRAPES,1
3 TERRUÑOS,1
"41NORTE, BOUTIQUE WINERY & VINEYARDS",1
4 MONOS VITICULTORES,1
5 HORMIGAS,1
70th ALBARIÑO vintage - BODEGAS CHAVES,1
7103 PETIT CELLER,1
ABADAL,1
ABADIA RETUERTA,1
ABADÍA SAN QUIRCE,1
ABA SOLLEIRA,1
Adega Algueira,1
ADEGA CHAOS,1
ADEGA JOAQUÍN REBOLLEDO,1
ADEGA MANUEL FORMIGO,1
ADEGA PEDRALONGA,1
ADEGA SAÍÑAS / [Adega Sainas],1
ADEGAS CASTROBREY,1
ADEGAS CHAN DE VIDE,1
ADEGAS D VAGAR,1
ADEGAS GUIMARO,1
ADEGAS TERRA DE ASOREI,1
Adegas Valmiñor - Ébano,1
ADEGA VILLAVERDE - JUST B,1
AGACAL,1
AGRICOLA CORBERA D'EBRE,1
AGRICOLA LA PORTERA,1
AGRO-URDIENSE SL,1
AKUTAIN,1
ALBA EN RIBERA,1
Albariño VAL DE MEIGAS,1
ALBERTO ORTE - Compañía de Vinos del Atlántico,1
ALBET I NOYA,1
ALCONDE,1
ALEAVINI,1
ALEGRE & VALGANON,1
ALEJANDRO FERNANDEZ TINTO PESQUERA,1
ALFREDO ARRIBAS & VINS NUS,1
ALFREDO MAESTRO - VITICULTOR -,1
ALGIL BODEGAS Y VIÑEDOS,1
ALIAGA,1
ALICANTE D.O.P,1
ALICIA I JOSEP VITICULTORS,1
ALMAZCARA MAJARA,1
ALONSO & PEDRAJO VITICULTORES,1
AL PIE DEL ABISMO,1
ALSINA & SARDÀ,1
ALTANZA,1
ALTA PAVINA / EL PINOT NOIR CASTELLANO,1
ALTAVINS,1
ALTHAY,1
ALTOLANDON,1
ALTOS DE RIOJA,1
ALTÚN,1
ALVAR DE DIOS,1
ALVAREZ-ALFARO,1
ÁLVAREZ Y DÍEZ BODEGAS,1
AMAT MONTANÉ,1
AMBORA,1
ANECOOP BODEGAS,1
"ANNAPURNA, HIGH ALTITUD WINE",1
ANONIMAS WINES,1
A PACHAS,1
A PITA CEGA,1
ARAEX GRANDS SPANISH FINE WINES,1
ARAGÓN ALIMENTOS,1
ARAGONESAS BODEGA / WINERY,1
Área Pequeña Viticultores,1
ÀRID VINS,1
ARINZANO,1
ARIZCUREN BODEGA Y VIÑEDOS,1
ARRAEZ WINE GROUP,1
ART LAIETÀ D'ALTA ALELLA,1
ARTOMAÑA TXAKOLINA,1
ARTUKE BODEGAS Y VIÑEDOS,1
ASENSIO CARCELÉN,1
ASOC. DE VINO DE CALIDAD DE VALTIENDAS,1
ASTOBIZA,1
Atavus Priorat,1
AT ROCA,1
ATTIS - SANGARIDA,1
AURELIO GARCIA,1
AURUM RED BY GUSTO SELECT,1
AV BODEGUERS,1
AVELINO VEGAS,1
AVGVSTVS FORVM,1
ÁVILA AUTÉNTICA,1
AVINYÓ,1
AWINES SPAIN & PORTUGAL,1
AYMAR,1
AYMAR VITIVINICOLES,1
B.R.O.T COL LECTIU BIODINÀMICH,1
BALDOVAR 923,1
BARAHONDA,1
BARBADILLO,1
Bárbara Palacios López-Montenegro,1
BARCO DEL CORNETA,1
BARDINET WINES,1
BARONÍA DE TURÍS,1
BASQUE MOONSHINERS S.L,1
"BASQUE WINE: Rioja Alavesa, Txakoli & Euskal Sagardoa",1
BELL CROS,1
BELLORI VINOS,1
BELLPLA VINS,1
BERNABELEVA,1
BERTA VALGAÑÓN & PRETIUM,1
BERTHA,1
BEVZERO,1
BIEN DE ALTURA VINOS,1
BIG 5,1
BINIGRAU,1
BLAI DE MONTFERRI,1
BLANCA TERRA,1
BLOSSOM WINES,1
BODEGA & VIÑEDOS ABADÍA DE ACÓN,1
BODEGA 202,1
BODEGA 65,1
BODEGA A. MUÑOZ CABRERA - DIMOBE,1
BODEGA AITAREN UPATEGIA,1
BODEGA BALCONA,1
BODEGA BARDOS,1
BODEGA BATGARA TXAKOLINA,1
BODEGA BELLO BERGANZO,1
BODEGA BORDOY,1
BODEGA BRAVO ESCÓS,1
BODEGA BSI / GÉMINA BODEGAS,1
BODEGA CASTELL MIQUEL,1
BODEGA CASTILLO DE ARESAN,1
BODEGA CERRÓN,1
BODEGA CILLAR DE SILOS,1
BODEGA CONDE DE MONTORNÉS,1
BODEGA CONDE DE SUYROT,1
BODEGA CONTADOR,1
BODEGA COOPERATIVA JESUS NAZARENO,1
BODEGA CORTIJO LA FUENTE,1
BODEGA CUARTA GENERACIÓN,1
BODEGA CUATRO RAYAS,1
BODEGA CUMBRES DE ABONA,1
BODEGA DANIEL RAMOS,1
BODEGA DE ESLAVA,1
BODEGA DE FORLONG,1
BODEGA DEHESA DE LOS CANÓNIGOS,1
BODEGA DEL ABAD,1
BODEGA DE SADA,1
BODEGA DOBLE R,1
BODEGA EL SITIO,1
BODEGA ERUPCIÓN,1
BODEGA ES FANGAR VINS,1
BODEGA FABIO COULLET,1
BODEGA FINCA DE LOS ARANDINOS,1
Bodega Finca Fuentegalana,1
BODEGA FLORS,1
BODEGA INURRIETA,1
BODEGA K5,1
BODEGA KIENINGER,1
BODEGA LA GERIA,1
BODEGA LA MILAGROSA S. COOP,1
BODEGA LAS CALZADAS,1
BODEGA LAS CEPAS,1
BODEGA LAS VIRTUDES,1
BODEGA LIBERALIA,1
BODEGA LOS GREDALES DE EL TOBOSO,1
BODEGA LOS IMPOSIBLES,1
BODEGA LUIS SAENZ,1
Bodega Luna Beberide,1
BODEGA LUZDIVINA AMIGO,1
BODEGA MARQUES DE MONTECIERZO,1
BODEGA MARQUÉS DE VELILLA,1
BODEGA MASOS,1
BODEGA MAURICIO LORCA,1
BODEGA MIGUEL DOMECQ,1
BODEGA MONASTRELL,1
Bodega Muelas,1
BODEGA MUSTIGUILLO,1
BODEGA NEGÓN,1
BODEGA OLIVINA,1
BODEGA OTTO BESTUÉ,1
BODEGA OZALDER,1
BODEGA PALOMILLO,1
BODEGA PARAÍSOS PERDIDOS,1
BODEGA PÁRAMO ARROYO,1
BODEGA PIEDRA FLUIDA,1
BODEGA PINNA FIDELIS,1
BODEGA PIRINEOS,1
BODEGA PUNTA DE FLECHA,1
BODEGA REJADORADA,1
BODEGA RIBAS,1
BODEGA S. ARROYO,1
BODEGAS ABEICA,1
BODEGA SA CABANA,1
BODEGAS ADRIÁ,1
BODEGAS AESSIR,1
BODEGAS AGORIS,1
BODEGAS AGUIUNCHO,1
BODEGAS ALBAMAR,1
BODEGAS ALCARDET,1
BODEGAS ALCEÑO - FAMILIA BASTIDA,1
BODEGAS ALEJANDRO,1
Bodegas Alonso González S.L.,1
BODEGAS ALVEAR,1
BODEGAS ALVIA,1
BODEGAS AMADOR GARCÍA,1
BODEGAS AMEZOLA DE LA MORA,1
BODEGA SANTA CATALINA DEL MAÑÁN,1
BODEGA SANTA CATARINA,1
BODEGA SANTA CRUZ DE ALPERA,1
BODEGAS ANTONIO SERRANO,1
BODEGAS ARCO DE CURIEL,1
BODEGAS ARRAYAN,1
BODEGAS ARROCAL,1
bodegas asenjo &manso,1
BODEGAS ASENSIO,1
BODEGAS AS LAXAS,1
